City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
259,Bathsheba,BB,80.85,broken clouds,13.2167,-59.5167,Atlantis Hotel
260,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
265,Arraial Do Cabo,BR,82.4,few clouds,-22.9661,-42.0278,Pousada Porto Praia
267,Labuhan,ID,80.42,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
269,Tautira,PF,77.0,light rain,-17.7333,-149.15,Pension Oaoa
271,Linhares,BR,84.96,broken clouds,-19.3911,-40.0722,Hotel Conceição
272,Minab,IR,80.6,haze,27.1467,57.0801,Bam campground
281,Pedernales,DO,82.33,scattered clouds,18.0384,-71.744,Hotel Costa Marina
284,Bilma,NE,84.04,clear sky,18.6853,12.9164,Expeditions Ténére voyages
289,Paita,PE,80.6,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
293,Inhambane,MZ,80.6,few clouds,-23.865,35.3833,Oceano
296,Meulaboh,ID,77.02,heavy intensity rain,4.1363,96.1285,Kost Pria
299,Bintulu,MY,77.0,few clouds,3.1667,113.0333,900 Boutique INN
300,Akyab,MM,79.3,few clouds,20.15,92.9,Hotel Memory
302,Ambulu,ID,76.3,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
307,Necochea,AR,78.01,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
314,Bithur,IN,78.8,haze,26.6333,80.2833,Ganga Kuti
315,Riyadh,SA,80.6,dust,24.6877,46.7219,InterContinental Riyadh
316,Sao Felix Do Xingu,BR,87.44,broken clouds,-6.6447,-51.995,Rio Xingu Camping
317,Poum,NC,79.32,overcast clouds,-20.2333,164.0167,Gîte kajeon
318,Uniao,BR,89.6,broken clouds,-4.5858,-42.8642,Pousada União
322,Porbandar,IN,80.62,clear sky,21.6422,69.6093,Lords Inn Porbandar
323,Vanimo,PG,77.34,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
325,Cabo San Lucas,MX,86.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
326,Ambilobe,MG,75.97,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
331,San Andres,CO,86.0,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
334,Bubaque,GW,76.53,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
337,Maceio,BR,86.0,broken clouds,-9.6658,-35.7353,Poutur Pousada
