City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Broome,US,42.2506,-75.833,42.01,32,1,4.61,clear sky
135,Ketchikan,US,55.3422,-131.6461,35.35,88,47,2.39,scattered clouds
136,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,20,11.5,light rain
137,Port Alfred,ZA,-33.5906,26.891,65.12,72,20,16.98,few clouds
138,Itarema,BR,-2.9248,-39.9167,85.8,68,30,15.64,scattered clouds
139,Helong,CN,42.5397,128.9972,30.85,63,86,3.76,overcast clouds
140,Luderitz,NA,-26.6481,15.1594,74.25,52,0,18.01,clear sky
141,Asfi,MA,32.2994,-9.2372,63.5,69,0,17.43,clear sky
142,Takoradi,GH,4.8845,-1.7554,83.17,74,65,11.68,broken clouds
143,Abha,SA,18.2164,42.5053,71.6,73,0,6.91,clear sky
144,Port Lincoln,AU,-34.7333,135.8667,67.66,62,0,1.16,heavy intensity rain
145,Wattegama,LK,6.7989,81.4808,82.4,78,0,4.61,clear sky
146,Hasaki,JP,35.7333,140.8333,57.2,88,0,2.3,clear sky
147,Lorengau,PG,-2.0226,147.2712,79.02,83,100,6.06,overcast clouds
148,Port Elizabeth,ZA,-33.918,25.5701,66.2,77,0,16.11,clear sky
149,Hithadhoo,MV,-0.6,73.0833,83.75,73,61,16.58,broken clouds
150,Rudsar,IR,37.1376,50.288,55.4,87,90,2.3,overcast clouds
151,Sabha,LY,27.0377,14.4283,78.73,11,3,8.52,clear sky
152,Norman Wells,CA,65.282,-126.8329,-4.0,77,75,4.61,broken clouds
153,Los Andes,CL,-32.8337,-70.5983,86.0,46,0,6.91,clear sky
154,Morehead,US,37.2711,-87.1764,57.99,18,1,8.63,clear sky
155,Isla Vista,US,34.4133,-119.861,55.4,76,20,9.22,few clouds
156,Zhuanghe,CN,39.7008,122.9911,46.99,27,67,5.01,broken clouds
157,Krasnoselkup,RU,65.7,82.4667,25.99,95,100,3.04,overcast clouds
158,Luangwa,ZM,-15.6167,30.4167,72.43,71,11,1.19,few clouds
159,Yellowknife,CA,62.456,-114.3525,-2.0,71,20,4.61,few clouds
160,Tokur,RU,53.1333,132.9,2.77,97,99,2.89,overcast clouds
161,Ugoofaaru,MV,5.6667,73.0,83.64,71,17,10.71,few clouds
162,Barnstaple,GB,51.0802,-4.0581,52.0,50,3,1.01,clear sky
163,Vaini,TO,-21.2,-175.2,75.2,94,75,6.91,light rain
164,Mendoza,AR,-32.8908,-68.8272,75.2,53,40,6.91,scattered clouds
165,Kununurra,AU,-15.7667,128.7333,75.2,83,99,1.03,overcast clouds
166,Carson City,US,39.1638,-119.7674,62.01,22,1,2.95,clear sky
167,Huarmey,PE,-10.0681,-78.1522,75.25,73,50,9.84,scattered clouds
168,Nanortalik,GL,60.1432,-45.2371,36.52,99,100,1.99,overcast clouds
169,Behshahr,IR,36.6923,53.5526,53.08,88,80,9.86,broken clouds
170,Antofagasta,CL,-23.65,-70.4,75.0,64,20,9.22,few clouds
171,Jijiga,ET,9.35,42.8,70.81,32,3,17.07,clear sky
172,Hobyo,SO,5.3505,48.5268,83.21,72,7,13.56,clear sky
173,Yurginskoye,RU,56.8189,67.3921,32.76,81,100,10.54,overcast clouds
174,Puerto Escondido,MX,15.85,-97.0667,86.0,74,1,12.66,clear sky
175,Starosubkhangulovo,RU,53.1031,57.4423,33.96,93,99,6.26,light snow
176,Suntar,RU,62.1444,117.6319,-14.69,100,46,3.27,scattered clouds
177,Wewak,PG,-3.5534,143.6268,77.23,84,100,4.07,light rain
178,Vardo,NO,70.3705,31.1107,30.2,86,0,20.71,clear sky
179,Banda Aceh,ID,5.5577,95.3222,80.26,75,83,10.65,broken clouds
180,Shushtar,IR,32.0455,48.8567,66.51,26,0,6.87,clear sky
181,Ponta Do Sol,PT,32.6667,-17.1,63.0,61,69,5.01,broken clouds
182,Salima,MW,-13.7804,34.4587,70.63,91,12,3.67,moderate rain
183,Manuk Mangkaw,PH,4.8,119.85,82.69,77,95,8.25,overcast clouds
184,Dicabisagan,PH,17.0818,122.4157,75.31,90,28,1.54,scattered clouds
185,Saint-Pierre,RE,-21.3393,55.4781,80.6,78,0,5.75,light rain
186,Marawi,PH,7.9986,124.2928,68.4,95,92,0.49,overcast clouds
